country,NaN,GDPper_cap
Liechtenstein ,,139100
Qatar,,127700
Monaco ,,115700
Luxembourg,,10400
Falkland Islands (Islas Malvinas),,96200
Macau,,95100
Singapore,,87900
Bermuda,,85700
Isle of Man,,84600
Brunei,,75900
Kuwait,,71900
Ireland,,69200
Norway,,69200
United Arab Emirates,,67900
Sint Maarten,,66800
Gibraltar,,61700
Switzerland,,59600
San Marino,,59500
Hong Kong,,58300
United States,,57400
Saudi Arabia,,55200
Guernsey,,52500
Netherlands,,51000
Bahrain,,50700
Andorra,,49900
Sweden,,49800
Jersey,,49500
Iceland,,49200
Australia,,48900
Taiwan,,48100
Germany,,48100
Austria,,48000
Denmark,,48000
Oman,,46700
Canada,,46400
Belgium,,45000
Cayman Islands,,43800
United Kingdom,,42500
France,,42300
British Virgin Islands,,42300
Finland,,42200
Japan,,41300
Faroe Islands,,40000
Malta,,39900
European Union,,39200
Equatorial Guinea,,38600
Puerto Rico,,38400
Republic of Korea,,37700
Greenland,,37600
New Zealand,,37300
Italy,,36800
Spain,,36400
Virgin Islands,,36100
Israel,,35200
Cyprus,,35000
Saint Pierre and Miquelon,,34900
Czechia,,33200
Slovenia,,32100
Trinidad and Tobago,,31900
Slovakia,,31300
New Caledonia,,31100
Guam,,30500
Lithuania,,30000
Estonia,,29300
Turks and Caicos Islands,,29100
Portugal,,28900
Poland,,27800
Seychelles,,27600
Hungary,,27500
Malaysia,,27300
Greece,,26700
Russia,,26500
Saint Kitts and Nevis,,26100
Latvia,,25700
Aruba,,25300
Antigua and Barbuda,,25200
Kazakhstan,,25100
Turkey,,24900
Bahamas,,24600
Chile,,24100
Panama,,23000
Croatia,,22800
Romania,,22300
Uruguay,,21500
Mauritius,,20400
Bulgaria,,20300
Argentina,,20000
Saint Martin,,19300
Gabon,,19100
Mexico,,18900
Lebanon,,18500
Iran,,18100
Belarus,,18000
Iraq,,17900
Turkmenistan,,17500
Azerbaijan,,17400
Barbados,,17100
French Polynesia,,17000
Botswana,,17000
Thailand,,16900
Montenegro,,16600
Costa Rica,,16400
Dominican Republic,,16000
Maldives,,15500
Palau,,15400
China,,15400
Brazil,,15200
Algeria,,15000
Curacao,,15000
Macedonia,,14600
Serbia,,14500
Colombia,,14100
Grenada,,14100
Suriname,,14000
Venezuela,,13800
Northern Mariana Islands,,13300
South Africa,,13200
American Samoa,,13000
Peru,,12900
Egypt,,12600
Mongolia,,12300
Cook Islands,,12300
Jordan,,12300
Sri Lanka,,12300
Anguilla,,12200
Cuba,,11900
Albania,,11800
Saint Lucia,,11800
Indonesia,,11700
Nauru,,11600
Tunisia,,11600
Dominica,,11300
Saint Vincent and the Grenadines,,11300
Namibia,,11300
Ecuador,,11100
Bosnia and Herzegovina,,11000
Georgia,,10000
Swaziland,,9800
Kosovo,,9600
Paraguay,,9400
Fiji,,9300
Jamaica,,9000
El Salvador,,8900
Libya,,8700
Armenia,,8600
Montserrat,,8500
Ukraine,,8300
Morocco,,8300
Bhutan,,8200
Belize,,8200
Guyana,,7900
Guatemala,,7900
"Saint Helena, Ascension, and Tristan da Cunha",,7800
Philippines,,7700
Bolivia,,7200
Angola,,6800
Cabo Verde,,6700
Congo,,6700
Uzbekistan,,6600
India,,6600
Vietnam,,6400
Nigeria,,5900
Burma,,5800
Niue,,5800
Laos,,5700
Samoa,,5500
Nicaragua,,5500
Tonga,,5400
Moldova,,5300
Honduras,,5300
Pakistan,,5100
Ghana,,4400
Sudan,,4400
West Bank,,4300
Mauritania,,4300
Timor-Leste,,4200
Zambia,,3900
Bangladesh,,3900
Wallis and Futuna,,3800
Cambodia,,3700
Cote d'Ivoire,,3600
Lesotho,,3600
Kyrgyzstan,,3500
Papua New Guinea,,3500
Tuvalu,,3500
Djibouti,,3400
Kenya,,3400
Marshall Islands,,3200
Cameroon,,3200
Federated States of Micronesia,,3200
Tanzania,,3100
Sao Tome and Principe,,3100
Tajikistan,,3000
Syria,,2900
Vanuatu,,2600
Senegal,,2600
Nepal,,2500
Western Sahara,,2500
Chad,,2400
Yemen,,2400
Mali,,2300
Benin,,2100
Uganda,,2100
Rwanda,,2000
Solomon Islands,,2000
Zimbabwe,,2000
Afghanistan,,1900
Ethiopia,,1900
Haiti,,1800
Burkina Faso,,1700
Kiribati,,1800
Sierra Leone,,1700
South Sudan,,1700
Guinea-Bissau,,1700
North Korea,,1700
Gambia,,1700
Togo,,1600
Comoros,,1500
Madagascar,,1500
Eritrea,,1400
Guinea,,1300
Mozambique,,1200
Malawi,,1100
Niger,,1100
Tokelau,,1000
Liberia,,900
Burundi,,800
Democratic Republic of the Congo,,800
Central African Republic,,700
Somalia,,400
