,country,GDPper_cap,Adult_Population,Insufficiently_active,Percent_Obese
0,Qatar,127700,1783051,41.6,42.3
1,Luxembourg,10400,394182,28.5,23.1
2,Singapore,87900,3856895,33.1,6.2
3,Kuwait,71900,2794638,56.6,39.7
4,Ireland,69200,3216975,35.1,25.6
5,Norway,69200,3584317,25.8,23.1
6,United Arab Emirates,67900,6350738,38.4,37.2
7,Switzerland,59600,5726389,24.5,19.4
8,Saudi Arabia,55200,22253057,61.0,34.7
9,Netherlands,51000,11509480,15.5,19.8
10,Bahrain,50700,1008390,31.1,35.1
11,Andorra,49900,51998,26.1,29.5
12,Sweden,49800,6695670,28.7,20.5
13,Iceland,49200,226343,24.5,22.8
14,Australia,48900,16518799,23.8,28.6
15,Germany,48100,55476370,21.1,20.1
16,Austria,48000,5901672,23.8,18.4
17,Denmark,48000,3873587,24.3,19.3
18,Oman,46700,3132259,31.1,30.9
19,Canada,46400,24743309,23.2,28.0
20,Belgium,45000,7721659,33.2,20.2
21,France,42300,43900183,23.8,23.9
22,Finland,42200,3731495,23.5,20.6
23,Japan,41300,86128494,33.8,3.3
24,Malta,39900,291072,42.9,26.6
25,Equatorial Guinea,38600,856451,25.2,17.5
26,Republic of Korea,37700,34443582,33.4,5.8
27,New Zealand,37300,3179251,39.8,29.2
28,Italy,36800,40103548,33.2,21.0
29,Spain,36400,31316979,30.5,23.7
30,Israel,35200,5622053,31.1,25.3
31,Cyprus,35000,796905,34.7,23.8
32,Slovenia,32100,1405232,21.3,25.1
33,Trinidad and Tobago,31900,924981,41.5,31.1
34,Slovakia,31300,3680440,17.8,25.7
35,Lithuania,30000,1952685,18.4,25.9
36,Estonia,29300,884787,11.9,22.6
37,Portugal,28900,6978614,34.9,20.1
38,Poland,27800,25788133,18.7,25.2
39,Seychelles,27600,64004,20.8,26.3
40,Hungary,27500,6567885,18.1,24.0
41,Malaysia,27300,21365353,52.3,13.3
42,Greece,26700,7539543,12.9,22.9
43,Saint Kitts and Nevis,26100,37391,32.4,28.3
44,Latvia,25700,1317197,22.0,23.7
45,Antigua and Barbuda,25200,68919,32.4,30.9
46,Kazakhstan,25100,12298960,20.6,23.4
47,Turkey,24900,54551336,32.8,29.5
48,Bahamas,24600,267106,43.0,36.2
49,Chile,24100,12197773,21.3,27.8
50,Panama,23000,2769005,32.4,26.8
51,Croatia,22800,2830327,16.2,23.3
52,Romania,22300,13295339,25.3,21.7
53,Uruguay,21500,2335380,31.7,26.7
54,Mauritius,20400,854727,25.2,17.9
55,Bulgaria,20300,4786336,21.0,23.2
56,Argentina,20000,29909515,39.2,26.3
57,Gabon,19100,1368183,26.0,17.6
58,Mexico,18900,87262709,26.0,28.1
59,Lebanon,18500,4109240,38.8,31.9
60,Belarus,18000,6396809,24.5,23.4
61,Iraq,17900,25858332,49.3,23.8
62,Turkmenistan,17500,3890155,31.1,20.1
63,Azerbaijan,17400,6639519,24.5,22.5
64,Barbados,17100,193032,37.6,31.3
65,Botswana,17000,1548246,27.2,22.4
66,Thailand,16900,46641744,14.8,8.5
67,Montenegro,16600,424925,24.5,20.0
68,Costa Rica,16400,3314338,32.4,24.3
69,Dominican Republic,16000,7274184,35.9,23.9
70,Maldives,15500,294785,30.7,7.9
71,Palau,15400,14680,25.2,47.6
72,China,15400,952269953,24.1,6.9
73,Brazil,15200,141395161,27.8,20.0
74,Algeria,15000,27914537,34.4,24.8
75,Serbia,14500,5938912,38.7,19.5
76,Colombia,14100,33148729,63.6,21.0
77,Grenada,14100,72847,30.5,26.2
78,Suriname,14000,380634,32.4,26.1
79,South Africa,13200,38318111,46.9,26.8
80,Peru,12900,21731002,32.4,21.1
81,Egypt,12600,65906909,32.3,28.9
82,Mongolia,12300,2077907,21.4,16.7
83,Cook Islands,12300,11742,65.0,50.8
84,Jordan,12300,6554910,15.6,30.5
85,Sri Lanka,12300,14104445,23.8,6.5
86,Cuba,11900,7759020,32.4,25.2
87,Albania,11800,1979634,24.5,17.6
88,Saint Lucia,11800,120827,41.2,26.9
89,Indonesia,11700,178352576,23.7,5.7
90,Nauru,11600,7674,40.7,45.6
91,Tunisia,11600,7791105,23.5,27.1
92,Dominica,11300,49944,21.8,25.8
93,Saint Vincent and the Grenadines,11300,74246,32.4,24.3
94,Namibia,11300,1711831,31.8,18.9
95,Ecuador,11100,11231754,25.2,18.7
96,Bosnia and Herzegovina,11000,2369341,18.1,17.9
97,Georgia,10000,2642988,20.6,20.8
98,Swaziland,9800,923717,36.8,17.7
99,Paraguay,9400,4601712,24.6,16.3
100,Fiji,9300,611757,17.0,36.4
101,Jamaica,9000,1952686,27.9,27.2
102,El Salvador,8900,4308877,32.4,21.8
103,Libya,8700,4306691,38.0,33.1
104,Armenia,8600,1979812,24.5,19.5
105,Ukraine,8300,29877023,12.2,20.1
106,Morocco,8300,24145660,31.1,22.3
107,Bhutan,8200,545621,8.7,6.7
108,Belize,8200,253134,32.4,22.5
109,Guyana,7900,525522,32.4,22.9
110,Guatemala,7900,11426763,13.3,18.6
111,Philippines,7700,70882662,15.8,5.1
112,Angola,6800,20122201,20.9,10.2
113,Cabo Verde,6700,369140,19.6,13.0
114,Congo,6700,3554163,25.4,11.0
115,India,6600,904750094,13.4,4.9
116,Nigeria,5900,128962792,22.3,11.0
117,Niue,5800,1093,5.6,43.2
118,Samoa,5500,132715,16.2,43.4
119,Nicaragua,5500,4200598,32.4,17.1
120,Tonga,5400,72978,21.6,43.3
121,Honduras,5300,6259479,32.4,18.2
122,Pakistan,5100,133103979,26.0,5.4
123,Ghana,4400,19480000,15.6,12.2
