,country,GDPper_cap,Adult_Population,Percent_Obese,Population,Insufficiently_active
0,Qatar,127700,1783051,42.3,2639211,41.6
1,Luxembourg,10400,394182,23.1,583455,28.5
2,Singapore,87900,3856895,6.2,5708844,33.1
3,Kuwait,71900,2794638,39.7,4136528,56.6
4,Ireland,69200,3216975,25.6,4761657,35.1
5,Norway,69200,3584317,23.1,5305383,25.8
6,United Arab Emirates,67900,6350738,37.2,9400145,38.4
7,Switzerland,59600,5726389,19.4,8476005,24.5
8,Saudi Arabia,55200,22253057,34.7,32938213,61
9,Netherlands,51000,11509480,19.8,17035938,15.5
10,Bahrain,50700,1008390,35.1,1492584,31.1
11,Andorra,49900,51998,29.5,76965,26.1
12,Sweden,49800,6695670,20.5,9910701,28.7
13,Iceland,49200,226343,22.8,335025,24.5
14,Australia,48900,16518799,28.6,24450561,23.8
15,Germany,48100,55476370,20.1,82114224,21.1
16,Austria,48000,5901672,18.4,8735453,23.8
17,Denmark,48000,3873587,19.3,5733551,24.3
18,Oman,46700,3132259,30.9,4636262,31.1
19,Canada,46400,24743309,28.0,36624199,23.2
20,Belgium,45000,7721659,20.2,11429336,33.2
21,France,42300,43900183,23.9,64979548,23.8
22,Finland,42200,3731495,20.6,5523231,23.5
23,Japan,41300,86128494,3.3,127484450,33.8
24,Malta,39900,291072,26.6,430835,42.9
25,Equatorial Guinea,38600,856451,17.5,1267689,25.2
26,Republic of Korea,37700,34443582,5.8,50982212,33.4
27,New Zealand,37300,3179251,29.2,4705818,39.8
28,Italy,36800,40103548,21.0,59359900,33.2
29,Spain,36400,31316979,23.7,46354321,30.5
30,Israel,35200,5622053,25.3,8321570,31.1
31,Cyprus,35000,796905,23.8,1179551,34.7
32,Slovenia,32100,1405232,25.1,2079976,21.3
33,Trinidad and Tobago,31900,924981,31.1,1369125,41.5
34,Slovakia,31300,3680440,25.7,5447662,17.8
35,Lithuania,30000,1952685,25.9,2890297,18.4
36,Estonia,29300,884787,22.6,1309632,11.9
37,Portugal,28900,6978614,20.1,10329506,34.9
38,Poland,27800,25788133,25.2,38170712,18.7
39,Seychelles,27600,64004,26.3,94737,20.8
40,Hungary,27500,6567885,24.0,9721559,18.1
41,Malaysia,27300,21365353,13.3,31624264,52.3
42,Greece,26700,7539543,22.9,11159773,12.9
43,Saint Kitts and Nevis,26100,37391,28.3,55345,32.4
44,Latvia,25700,1317197,23.7,1949670,22
45,Antigua and Barbuda,25200,68919,30.9,102012,32.4
