,country,GDPper_cap,Adult_Population,Percent_Obese,Population
0,Qatar,127700,1783051,42.3,2639211
1,Luxembourg,10400,394182,23.1,583455
2,Singapore,87900,3856895,6.2,5708844
3,Kuwait,71900,2794638,39.7,4136528
4,Ireland,69200,3216975,25.6,4761657
5,Norway,69200,3584317,23.1,5305383
6,United Arab Emirates,67900,6350738,37.2,9400145
7,Switzerland,59600,5726389,19.4,8476005
8,Saudi Arabia,55200,22253057,34.7,32938213
9,Netherlands,51000,11509480,19.8,17035938
10,Bahrain,50700,1008390,35.1,1492584
11,Andorra,49900,51998,29.5,76965
12,Sweden,49800,6695670,20.5,9910701
13,Iceland,49200,226343,22.8,335025
14,Australia,48900,16518799,28.6,24450561
15,Germany,48100,55476370,20.1,82114224
16,Austria,48000,5901672,18.4,8735453
17,Denmark,48000,3873587,19.3,5733551
18,Oman,46700,3132259,30.9,4636262
19,Canada,46400,24743309,28.0,36624199
20,Belgium,45000,7721659,20.2,11429336
21,United Kingdom,42500,44712279,28.1,66181585
22,France,42300,43900183,23.9,64979548
23,Finland,42200,3731495,20.6,5523231
24,Japan,41300,86128494,3.3,127484450
25,Malta,39900,291072,26.6,430835
26,Equatorial Guinea,38600,856451,17.5,1267689
27,Republic of Korea,37700,34443582,5.8,50982212
28,New Zealand,37300,3179251,29.2,4705818
29,Italy,36800,40103548,21.0,59359900
30,Spain,36400,31316979,23.7,46354321
31,Israel,35200,5622053,25.3,8321570
32,Cyprus,35000,796905,23.8,1179551
33,Slovenia,32100,1405232,25.1,2079976
34,Trinidad and Tobago,31900,924981,31.1,1369125
35,Slovakia,31300,3680440,25.7,5447662
36,Lithuania,30000,1952685,25.9,2890297
37,Estonia,29300,884787,22.6,1309632
38,Portugal,28900,6978614,20.1,10329506
39,Poland,27800,25788133,25.2,38170712
40,Seychelles,27600,64004,26.3,94737
41,Hungary,27500,6567885,24.0,9721559
42,Malaysia,27300,21365353,13.3,31624264
43,Greece,26700,7539543,22.9,11159773
44,Saint Kitts and Nevis,26100,37391,28.3,55345
45,Latvia,25700,1317197,23.7,1949670
46,Antigua and Barbuda,25200,68919,30.9,102012
47,Kazakhstan,25100,12298960,23.4,18204499
48,Turkey,24900,54551336,29.5,80745020
49,Bahamas,24600,267106,36.2,395361
50,Chile,24100,12197773,27.8,18054726
51,Panama,23000,2769005,26.8,4098587
52,Croatia,22800,2830327,23.3,4189353
53,Romania,22300,13295339,21.7,19679306
54,Uruguay,21500,2335380,26.7,3456750
55,Mauritius,20400,854727,17.9,1265138
56,Bulgaria,20300,4786336,23.2,7084571
57,Argentina,20000,29909515,26.3,44271041
58,Gabon,19100,1368183,17.6,2025137
59,Mexico,18900,87262709,28.1,129163276
60,Lebanon,18500,4109240,31.9,6082357
61,Belarus,18000,6396809,23.4,9468338
