,country,steps,GDPper_cap,Adult_Population,Percent_Obese,Population
0,China,6189,15400,952269953,6.9,1409517397
1,Ukraine,6107,8300,29877023,20.1,44222947
2,Japan,6010,41300,86128494,3.3,127484450
3,Spain,5936,36400,31316979,23.7,46354321
4,Sweden,5863,49800,6695670,20.5,9910701
5,Singapore,5674,87900,3856895,6.2,5708844
6,Switzerland,5512,59600,5726389,19.4,8476005
7,United Kingdom,5444,42500,44712279,28.1,66181585
8,Italy,5296,36800,40103548,21.0,59359900
9,Ireland,5293,69200,3216975,25.6,4761657
10,Denmark,5263,48000,3873587,19.3,5733551
11,Hungary,5258,27500,6567885,24.0,9721559
12,Poland,5249,27800,25788133,25.2,38170712
13,Norway,5246,69200,3584317,23.1,5305383
14,Germany,5205,48100,55476370,20.1,82114224
15,Chile,5204,24100,12197773,27.8,18054726
16,Finland,5204,42200,3731495,20.6,5523231
17,France,5141,42300,43900183,23.9,64979548
18,Netherlands,5110,51000,11509480,19.8,17035938
19,Turkey,5057,24900,54551336,29.5,80745020
20,Israel,5033,35200,5622053,25.3,8321570
21,Belgium,4978,45000,7721659,20.2,11429336
22,Australia,4941,48900,16518799,28.6,24450561
23,Canada,4819,46400,24743309,28.0,36624199
24,Thailand,4764,16900,46641744,8.5,69037513
25,Romania,4759,22300,13295339,21.7,19679306
26,Portugal,4744,28900,6978614,20.1,10329506
27,Mexico,4692,18900,87262709,28.1,129163276
28,New Zealand,4582,37300,3179251,29.2,4705818
29,United Arab Emirates,4516,67900,6350738,37.2,9400145
30,Greece,4350,26700,7539543,22.9,11159773
31,Egypt,4315,12600,65906909,28.9,97553151
32,India,4297,6600,904750094,4.9,1339180127
33,Brazil,4289,15200,141395161,20.0,209288278
34,Qatar,4158,127700,1783051,42.3,2639211
35,South Africa,4105,13200,38318111,26.8,56717156
36,Philippines,4008,7700,70882662,5.1,104918090
37,Malaysia,3963,27300,21365353,13.3,31624264
38,Saudi Arabia,3807,55200,22253057,34.7,32938213
39,Indonesia,3513,11700,178352576,5.7,263991379
