,Unnamed: 0,Country,Percent_Obese,GDPper_cap,Insufficiently_active,Education,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia,Region_Oceania,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,log(GDPper_cap),Asia*UrbanPop,ArabStates*Globalization
0,0,Russia,24.1,26500,9.5,0.78,0,0,0,0,0,0,1,69.09,-0.13,74.0,165100000000.0,25.829817187872493,0.0,-0.0,0.0,0.0,-1.324037001556661,0,10.184900011974314,0.0,0.0
1,1,Qatar,42.3,127700,41.6,0.6859999999999999,0,1,0,0,0,0,0,74.39,6.02,99.2,33760000000.0,24.242542506674166,0.0,0.0,99.2,0.0,70.77978303296419,0,11.75743904202063,0.0,74.39
2,2,Luxembourg,23.1,10400,28.5,0.762,0,0,1,0,0,0,0,79.33,1.71,90.2,18330000000.0,23.631804898798023,0.0,0.0,0.0,0.0,15.816749455571383,10400,9.249561085129464,0.0,0.0
3,3,Singapore,6.2,87900,33.1,0.768,0,0,0,1,0,0,0,78.63,2.02,100.0,271300000000.0,26.326491056611296,26.326491056611296,2.02,0.0,78.63,22.99558926902,0,11.383955083673268,100.0,0.0
4,4,Kuwait,39.7,71900,56.6,0.6459999999999999,0,1,0,0,0,0,0,70.21,3.63,98.3,28320000000.0,24.06683410577193,0.0,0.0,98.3,0.0,40.59440450366417,0,11.183031543709138,0.0,70.21
5,5,Ireland,25.6,69200,35.1,0.887,0,0,1,0,0,0,0,83.53,1.58,63.2,88010000000.0,25.20071628133213,0.0,0.0,0.0,0.0,17.608714703737103,69200,11.144756141605761,0.0,0.0
6,6,Norway,23.1,69200,25.8,0.91,0,0,1,0,0,0,0,85.81,1.35,80.5,73020000000.0,25.013999213173904,0.0,0.0,0.0,0.0,15.045420791167778,69200,11.144756141605761,0.0,0.0
7,7,United Arab Emirates,37.2,67900,38.4,0.6729999999999999,0,1,0,0,0,0,0,84.56,2.87,85.5,246900000000.0,26.232249233297544,0.0,0.0,85.5,0.0,31.931021069879282,0,11.125791313546788,0.0,84.56
8,8,Switzerland,19.4,59600,24.5,0.8440000000000001,0,0,1,0,0,0,0,89.7,1.88,73.9,243400000000.0,26.21797201749984,0.0,0.0,0.0,0.0,20.671372403740467,59600,10.995410853053441,0.0,0.0
9,9,Saudi Arabia,34.7,55200,61.0,0.723,0,1,0,0,0,0,0,61.86,2.1,83.1,157700000000.0,25.783960330915402,0.0,0.0,83.1,0.0,22.929308287756893,0,10.918718232265187,0.0,61.86
10,10,Netherlands,19.8,51000,15.5,0.894,0,0,1,0,0,0,0,90.24,1.05,90.5,376300000000.0,26.653652534545802,0.0,0.0,0.0,0.0,11.381559957291786,51000,10.839580911706463,0.0,0.0
11,11,Bahrain,35.1,50700,31.1,0.7140000000000001,0,1,0,0,0,0,0,68.04,1.71,88.8,7974000000.0,22.799452085905575,0.0,0.0,88.8,0.0,18.52559483418056,0,10.833681189579275,0.0,68.04
12,12,Sweden,20.5,49800,28.7,0.83,0,0,1,0,0,0,0,88.05,0.83,85.8,134900000000.0,25.62779960016012,0.0,0.0,0.0,0.0,8.977089318300578,49800,10.815770263012745,0.0,0.0
13,13,Iceland,22.8,49200,24.5,0.847,0,0,1,0,0,0,0,70.62,1.25,94.1,5024000000.0,22.33749226611231,0.0,0.0,0.0,0.0,13.504561128100498,49200,10.803648902480399,0.0,0.0
14,14,Australia,28.6,48900,23.8,0.927,0,0,0,0,0,0,0,79.29,1.47,89.4,203100000000.0,26.03696430553275,0.0,0.0,0.0,0.0,15.872373032930557,0,10.797532675462964,0.0,0.0
15,15,Germany,20.1,48100,21.1,0.884,0,0,1,0,0,0,0,86.89,0.16,75.3,987600000000.0,27.618543594417435,0.0,0.0,0.0,0.0,1.7249659929750163,48100,10.781037456093852,0.0,0.0
16,16,Austria,18.4,48000,23.8,0.794,0,0,1,0,0,0,0,87.91,0.4,66.0,138600000000.0,25.654857923702213,0.0,0.0,0.0,0.0,4.311582515956011,48000,10.778956289890028,0.0,0.0
17,17,Denmark,19.3,48000,24.3,0.873,0,0,1,0,0,0,0,87.85,0.6,87.7,82290000000.0,25.13351543056403,0.0,0.0,0.0,0.0,6.467373773934017,48000,10.778956289890028,0.0,0.0
18,18,Oman,30.9,46700,31.1,0.603,0,1,0,0,0,0,0,65.4,8.54,77.6,25780000000.0,23.972864834457454,0.0,0.0,77.6,0.0,91.81780524883068,0,10.75149944365699,0.0,65.4
19,19,Canada,28.0,46400,23.2,0.85,0,0,0,0,0,0,0,83.45,1.22,81.8,419000000000.0,26.76113675686855,0.0,0.0,0.0,0.0,13.108966780621502,0,10.745054738214346,0.0,0.0
20,20,Belgium,20.2,45000,33.2,0.812,0,0,1,0,0,0,0,87.87,0.48,97.9,251700000000.0,26.25150373908768,0.0,0.0,0.0,0.0,5.142920529001179,45000,10.714417768752456,0.0,0.0
21,21,France,23.9,42300,23.8,0.816,0,0,1,0,0,0,0,87.34,0.84,79.5,525400000000.0,26.98742571419785,0.0,0.0,0.0,0.0,8.94813558662887,42300,10.65254236503437,0.0,0.0
22,22,Finland,20.6,42200,23.5,0.815,0,0,1,0,0,0,0,85.98,0.8,84.2,53500000000.0,24.702947490848373,0.0,0.0,0.0,0.0,8.520140400019283,42200,10.650175500024103,0.0,0.0
23,23,Japan,3.3,41300,33.8,0.8079999999999999,0,0,0,1,0,0,0,77.3,0.56,93.5,629800000000.0,27.168668145613335,27.168668145613335,0.56,0.0,77.3,5.95202595621151,0,10.628617778949124,93.5,0.0
24,24,Malta,26.6,39900,42.9,0.733,0,0,1,0,0,0,0,77.51,0.46,95.4,4479000000.0,22.222665644171574,0.0,0.0,0.0,0.0,4.87330053732386,39900,10.594131602877955,0.0,0.0
25,25,Equatorial Guinea,17.5,38600,25.2,0.415,1,0,0,0,0,0,0,41.58,3.12,39.9,3030000000.0,21.83182845646769,0.0,0.0,0.0,0.0,32.95034357301312,0,10.561007555452923,0.0,0.0
26,26,New Zealand,29.2,37300,39.8,0.917,0,0,0,0,0,0,0,78.0,1.05,86.3,34830000000.0,24.273744921324322,0.0,0.0,0.0,0.0,11.053086035913502,0,10.526748605631907,0.0,0.0
27,27,Italy,21.0,36800,33.2,0.79,0,0,1,0,0,0,0,82.15,0.39,69.0,372200000000.0,26.64269718115456,0.0,0.0,0.0,0.0,4.100168718421239,36800,10.513253124157023,0.0,0.0
28,28,Spain,23.7,36400,30.5,0.794,0,0,1,0,0,0,0,84.53,0.52,79.6,287900000000.0,26.385879034564542,0.0,0.0,0.0,0.0,5.461208507884913,36400,10.502324053624832,0.0,0.0
29,29,Israel,25.3,35200,31.1,0.8540000000000001,0,0,1,0,0,0,0,75.73,1.37,92.1,57900000000.0,24.781983221525362,0.0,0.0,0.0,0.0,14.342257865373078,35200,10.468801361586188,0.0,0.0
30,30,Cyprus,23.8,35000,34.7,0.7759999999999999,0,0,1,0,0,0,0,75.6,0.89,66.9,6042000000.0,22.52200091991089,0.0,0.0,0.0,0.0,9.312161973019679,35000,10.46310334047155,0.0,0.0
31,31,Slovenia,25.1,32100,21.3,0.863,0,0,1,0,0,0,0,79.76,0.08,49.6,25520000000.0,23.962728295423002,0.0,0.0,0.0,0.0,0.8301289047294487,32100,10.376611309118108,0.0,0.0
