,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab States,Region_Asia & Pacific,Region_CIS,Region_Europe,Region_North America,Region_South/Latin America,Region_Unknown
0,Qatar,127700,41.6,42.3,0.856,0,1,0,0,0,0,0,0
1,Luxembourg,10400,28.5,23.1,0.898,0,0,0,0,1,0,0,0
2,Singapore,87900,33.1,6.2,0.925,0,0,1,0,0,0,0,0
3,Kuwait,71900,56.6,39.7,0.8,0,1,0,0,0,0,0,0
4,Ireland,69200,35.1,25.6,0.923,0,0,0,0,1,0,0,0
5,Norway,69200,25.8,23.1,0.949,0,0,0,0,1,0,0,0
6,United Arab Emirates,67900,38.4,37.2,0.84,0,1,0,0,0,0,0,0
7,Switzerland,59600,24.5,19.4,0.939,0,0,0,0,1,0,0,0
8,Saudi Arabia,55200,61.0,34.7,0.847,0,1,0,0,0,0,0,0
9,Netherlands,51000,15.5,19.8,0.924,0,0,0,0,1,0,0,0
10,Bahrain,50700,31.1,35.1,0.8240000000000001,0,1,0,0,0,0,0,0
11,Andorra,49900,26.1,29.5,0.858,0,0,0,0,1,0,0,0
12,Sweden,49800,28.7,20.5,0.913,0,0,0,0,1,0,0,0
13,Iceland,49200,24.5,22.8,0.921,0,0,0,0,1,0,0,0
14,Australia,48900,23.8,28.6,0.939,0,0,1,0,0,0,0,0
15,Germany,48100,21.1,20.1,0.926,0,0,0,0,1,0,0,0
16,Austria,48000,23.8,18.4,0.893,0,0,0,0,1,0,0,0
17,Denmark,48000,24.3,19.3,0.925,0,0,0,0,1,0,0,0
18,Oman,46700,31.1,30.9,0.7959999999999999,0,1,0,0,0,0,0,0
19,Canada,46400,23.2,28.0,0.92,0,0,0,0,0,1,0,0
20,Belgium,45000,33.2,20.2,0.8959999999999999,0,0,0,0,1,0,0,0
21,France,42300,23.8,23.9,0.897,0,0,0,0,1,0,0,0
22,Finland,42200,23.5,20.6,0.895,0,0,0,0,1,0,0,0
23,Japan,41300,33.8,3.3,0.903,0,0,1,0,0,0,0,0
24,Malta,39900,42.9,26.6,0.856,0,0,0,0,1,0,0,0
