,Adult_Population,country,Obese_Adults,Percent_Obese,Population,Rank
1,11742,Cook Islands,5965,50.8,17380,1
2,14680,Palau,6988,47.6,21729,2
3,7674,Nauru,3499,45.6,11359,3
4,132715,Samoa,57598,43.4,196440,4
5,72978,Tonga,31600,43.3,108020,5
6,1093,Niue,472,43.2,1618,6
7,35893,Marshall Islands,15362,42.8,53127,7
8,1783051,Qatar,754231,42.3,2639211,8
9,78638,Kiribati,31927,40.6,116398,9
10,7561,Tuvalu,3047,40.3,11192,10
11,2794638,Kuwait,1109471,39.7,4136528,11
12,71306,Federated States of Micronesia,26526,37.2,105544,12
13,6350738,United Arab Emirates,2362475,37.2,9400145,12
14,611757,Fiji,222680,36.4,905502,14
15,267106,Bahamas,96692,36.2,395361,15
16,186630,Vanuatu,66067,35.4,276244,16
17,1008390,Bahrain,353945,35.1,1492584,17
18,22253057,Saudi Arabia,7721811,34.7,32938213,18
19,219204813,United States of America,73872022,33.7,324459463,19
20,4306691,Libya,1425515,33.1,6374616,20
21,4109240,Lebanon,1310848,31.9,6082357,21
22,193032,Barbados,60419,31.3,285719,22
23,924981,Trinidad and Tobago,287669,31.1,1369125,23
24,3132259,Oman,967868,30.9,4636262,24
25,68919,Antigua and Barbuda,21296,30.9,102012,24
26,6554910,Jordan,1999247,30.5,9702353,26
27,51998,Andorra,15339,29.5,76965,27
28,54551336,Turkey,16092644,29.5,80745020,27
29,3179251,New Zealand,928341,29.2,4705818,29
30,65906909,Egypt,19047097,28.9,97553151,30
31,16518799,Australia,4724377,28.6,24450561,31
32,37391,Saint Kitts and Nevis,10582,28.3,55345,32
33,44712279,United Kingdom,12564150,28.1,66181585,33
34,87262709,Mexico,24520821,28.1,129163276,33
35,24743309,Canada,6928126,28.0,36624199,35
36,5574485,Papua New Guinea,1555281,27.9,8251162,36
37,12197773,Chile,3390981,27.8,18054726,37
38,413023,Solomon Islands,114407,27.7,611343,38
39,1952686,Jamaica,531131,27.2,2890299,39
40,7791105,Tunisia,2111389,27.1,11532127,40
41,120827,Saint Lucia,32502,26.9,178844,41
42,38318111,South Africa,10269254,26.8,56717156,42
43,2769005,Panama,742093,26.8,4098587,42
44,7173726,Czech Republic,1922558,26.8,10618303,42
45,2335380,Uruguay,623547,26.7,3456750,45
46,291072,Malta,77425,26.6,430835,46
47,29909515,Argentina,7866203,26.3,44271041,47
48,64004,Seychelles,16833,26.3,94737,47
49,72847,Grenada,19086,26.2,107825,49
