,country,Percent_Obese,GDPper_cap,Insufficiently_active,HDI,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia_Pacific,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,Education
0,Russia,24.1,26500,9.5,0.804,0,0,0,0,0,1,69.09,-0.13,74.0,165100000000.0,25.829817187872493,0.0,-0.0,0.0,0.0,-1.324037001556661,0,0.78
1,Qatar,42.3,127700,41.6,0.856,0,1,0,0,0,0,74.39,6.02,99.2,33760000000.0,24.242542506674166,0.0,0.0,99.2,0.0,70.77978303296419,0,0.686
2,Luxembourg,23.1,10400,28.5,0.898,0,0,1,0,0,0,79.33,1.71,90.2,18330000000.0,23.631804898798023,0.0,0.0,0.0,0.0,15.816749455571383,10400,0.762
3,Singapore,6.2,87900,33.1,0.925,0,0,0,1,0,0,78.63,2.02,100.0,271300000000.0,26.326491056611296,26.326491056611296,2.02,0.0,78.63,22.99558926902,0,0.768
4,Kuwait,39.7,71900,56.6,0.8,0,1,0,0,0,0,70.21,3.63,98.3,28320000000.0,24.06683410577193,0.0,0.0,98.3,0.0,40.59440450366417,0,0.646
5,Ireland,25.6,69200,35.1,0.923,0,0,1,0,0,0,83.53,1.58,63.2,88010000000.0,25.20071628133213,0.0,0.0,0.0,0.0,17.608714703737103,69200,0.887
6,Norway,23.1,69200,25.8,0.949,0,0,1,0,0,0,85.81,1.35,80.5,73020000000.0,25.013999213173904,0.0,0.0,0.0,0.0,15.045420791167778,69200,0.91
7,United Arab Emirates,37.2,67900,38.4,0.84,0,1,0,0,0,0,84.56,2.87,85.5,246900000000.0,26.232249233297544,0.0,0.0,85.5,0.0,31.931021069879282,0,0.673
8,Switzerland,19.4,59600,24.5,0.939,0,0,1,0,0,0,89.7,1.88,73.9,243400000000.0,26.21797201749984,0.0,0.0,0.0,0.0,20.671372403740467,59600,0.844
9,Saudi Arabia,34.7,55200,61.0,0.847,0,1,0,0,0,0,61.86,2.1,83.1,157700000000.0,25.783960330915402,0.0,0.0,83.1,0.0,22.929308287756893,0,0.723
10,Netherlands,19.8,51000,15.5,0.924,0,0,1,0,0,0,90.24,1.05,90.5,376300000000.0,26.653652534545802,0.0,0.0,0.0,0.0,11.381559957291786,51000,0.894
11,Bahrain,35.1,50700,31.1,0.8240000000000001,0,1,0,0,0,0,68.04,1.71,88.8,7974000000.0,22.799452085905575,0.0,0.0,88.8,0.0,18.52559483418056,0,0.714
12,Sweden,20.5,49800,28.7,0.913,0,0,1,0,0,0,88.05,0.83,85.8,134900000000.0,25.62779960016012,0.0,0.0,0.0,0.0,8.977089318300578,49800,0.83
13,Iceland,22.8,49200,24.5,0.921,0,0,1,0,0,0,70.62,1.25,94.1,5024000000.0,22.33749226611231,0.0,0.0,0.0,0.0,13.504561128100498,49200,0.847
14,Australia,28.6,48900,23.8,0.939,0,0,0,1,0,0,79.29,1.47,89.4,203100000000.0,26.03696430553275,26.03696430553275,1.47,0.0,79.29,15.872373032930557,0,0.927
15,Germany,20.1,48100,21.1,0.926,0,0,1,0,0,0,86.89,0.16,75.3,987600000000.0,27.618543594417435,0.0,0.0,0.0,0.0,1.7249659929750163,48100,0.884
16,Austria,18.4,48000,23.8,0.893,0,0,1,0,0,0,87.91,0.4,66.0,138600000000.0,25.654857923702213,0.0,0.0,0.0,0.0,4.311582515956011,48000,0.794
17,Denmark,19.3,48000,24.3,0.925,0,0,1,0,0,0,87.85,0.6,87.7,82290000000.0,25.13351543056403,0.0,0.0,0.0,0.0,6.467373773934017,48000,0.873
18,Oman,30.9,46700,31.1,0.7959999999999999,0,1,0,0,0,0,65.4,8.54,77.6,25780000000.0,23.972864834457454,0.0,0.0,77.6,0.0,91.81780524883068,0,0.603
19,Canada,28.0,46400,23.2,0.92,0,0,0,0,0,0,83.45,1.22,81.8,419000000000.0,26.76113675686855,0.0,0.0,0.0,0.0,13.108966780621502,0,0.85
20,Belgium,20.2,45000,33.2,0.8959999999999999,0,0,1,0,0,0,87.87,0.48,97.9,251700000000.0,26.25150373908768,0.0,0.0,0.0,0.0,5.142920529001179,45000,0.812
21,France,23.9,42300,23.8,0.897,0,0,1,0,0,0,87.34,0.84,79.5,525400000000.0,26.98742571419785,0.0,0.0,0.0,0.0,8.94813558662887,42300,0.816
22,Finland,20.6,42200,23.5,0.895,0,0,1,0,0,0,85.98,0.8,84.2,53500000000.0,24.702947490848373,0.0,0.0,0.0,0.0,8.520140400019283,42200,0.815
23,Japan,3.3,41300,33.8,0.903,0,0,0,1,0,0,77.3,0.56,93.5,629800000000.0,27.168668145613335,27.168668145613335,0.56,0.0,77.3,5.95202595621151,0,0.808
24,Malta,26.6,39900,42.9,0.856,0,0,1,0,0,0,77.51,0.46,95.4,4479000000.0,22.222665644171574,0.0,0.0,0.0,0.0,4.87330053732386,39900,0.733
25,Equatorial Guinea,17.5,38600,25.2,0.5920000000000001,1,0,0,0,0,0,41.58,3.12,39.9,3030000000.0,21.83182845646769,0.0,0.0,0.0,0.0,32.95034357301312,0,0.415
26,New Zealand,29.2,37300,39.8,0.915,0,0,0,1,0,0,78.0,1.05,86.3,34830000000.0,24.273744921324322,24.273744921324322,1.05,0.0,78.0,11.053086035913502,0,0.917
27,Italy,21.0,36800,33.2,0.887,0,0,1,0,0,0,82.15,0.39,69.0,372200000000.0,26.64269718115456,0.0,0.0,0.0,0.0,4.100168718421239,36800,0.79
28,Spain,23.7,36400,30.5,0.884,0,0,1,0,0,0,84.53,0.52,79.6,287900000000.0,26.385879034564542,0.0,0.0,0.0,0.0,5.461208507884913,36400,0.794
29,Israel,25.3,35200,31.1,0.899,0,0,1,0,0,0,75.73,1.37,92.1,57900000000.0,24.781983221525362,0.0,0.0,0.0,0.0,14.342257865373078,35200,0.854
30,Cyprus,23.8,35000,34.7,0.856,0,0,1,0,0,0,75.6,0.89,66.9,6042000000.0,22.52200091991089,0.0,0.0,0.0,0.0,9.312161973019679,35000,0.776
31,Slovenia,25.1,32100,21.3,0.89,0,0,1,0,0,0,79.76,0.08,49.6,25520000000.0,23.962728295423002,0.0,0.0,0.0,0.0,0.8301289047294487,32100,0.863
32,Trinidad and Tobago,31.1,31900,41.5,0.78,0,0,0,0,1,0,64.66,-1.2,8.4,7398000000.0,22.724475530356674,0.0,-0.0,0.0,0.0,-12.444433546527522,0,0.7
33,Trinidad and Tobago,31.1,31900,41.5,0.78,0,0,0,0,1,0,64.66,-1.2,8.4,8.4,2.128231705849268,0.0,-0.0,0.0,0.0,-12.444433546527522,0,0.7
34,Lithuania,25.9,30000,18.4,0.848,0,0,1,0,0,0,78.78,-0.53,66.5,25920000000.0,23.978280708430486,0.0,-0.0,0.0,0.0,-5.463744910141475,30000,0.877
35,Estonia,22.6,29300,11.9,0.865,0,0,1,0,0,0,81.97,-0.45,67.5,13460000000.0,23.322988161162993,0.0,-0.0,0.0,0.0,-4.6284042577523214,29300,0.859
36,Portugal,20.1,28900,34.9,0.843,0,0,1,0,0,0,82.21,0.97,63.5,61700000000.0,24.845549767857754,0.0,0.0,0.0,0.0,9.963448967877508,28900,0.728
37,Poland,25.2,27800,18.7,0.855,0,0,1,0,0,0,78.72,-0.1,60.5,189500000000.0,25.96765486146889,0.0,-0.0,0.0,0.0,-1.023279129967873,27800,0.825
38,Seychelles,26.3,27600,20.8,0.782,1,0,0,0,0,0,64.21,1.14,53.9,873700000.0,20.588247625268323,0.0,0.0,0.0,0.0,11.657150998943974,0,0.636
39,Hungary,24.0,27500,18.1,0.836,0,0,1,0,0,0,84.2,0.47,71.2,86610000000.0,25.184681119289365,0.0,0.0,0.0,0.0,4.804312403317692,27500,0.805
40,Malaysia,13.3,27300,52.3,0.789,0,0,0,1,0,0,79.28,2.66,74.7,139500000000.0,25.66133043820783,25.66133043820783,2.66,0.0,79.28,27.170947669920317,0,0.671
41,Greece,22.9,26700,12.9,0.866,0,0,1,0,0,0,80.31,0.47,78.0,42730000000.0,24.478167086602344,0.0,0.0,0.0,0.0,4.79043685686252,26700,0.797
42,Latvia,23.7,25700,22.0,0.83,0,0,1,0,0,0,75.42,-0.67,67.4,13600000000.0,23.333335629688417,0.0,-0.0,0.0,0.0,-6.803345001491818,25700,0.813
43,Antigua and Barbuda,30.9,25200,32.4,0.7859999999999999,0,0,0,0,1,0,52.58,-0.95,23.8,482100000.0,19.993662119375852,0.0,-0.0,0.0,0.0,-9.627869309824538,0,0.681
44,Kazakhstan,23.4,25100,20.6,0.794,0,0,0,0,0,1,59.1,0.86,53.2,24500000000.0,23.921938954497094,0.0,0.0,0.0,0.0,8.712335887603093,0,0.762
45,Turkey,29.5,24900,32.8,0.767,0,0,1,0,0,0,70.87,1.97,73.4,197800000000.0,26.010522256135022,0.0,0.0,0.0,0.0,19.941567472432013,24900,0.652
46,Bahamas,36.2,24600,43.0,0.792,0,0,0,0,1,0,52.36,1.53,82.9,2495000000.0,21.637554566149895,0.0,0.0,0.0,0.0,15.469067634538295,0,0.714
47,Chile,27.8,24100,21.3,0.847,0,0,0,0,1,0,74.14,1.09,89.5,56860000000.0,24.763857943169263,0.0,0.0,0.0,0.0,10.998064160231834,0,0.746
48,Panama,26.8,23000,32.4,0.7879999999999999,0,0,0,0,1,0,69.89,2.07,66.1,22080000000.0,23.817938058355306,0.0,0.0,0.0,0.0,20.789526454466362,0,0.657
