,Unnamed: 0,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab_States,Region_Asia_Pacific,Region_CIS,Region_Europe,Region_North_America,Region_Latin_America,Region_Unknown,"Globalisation Index, overall",Globalization_index,Urban_Population,Urbanization_Rate,Imports,Imports_
0,0,Russia,26500,9.5,24.1,.804,0,0,0,1,0,0,0,0,69.06,69.09,74,-.13,165100000000,0
0,0,Qatar,127700,41.6,42.3,0.856,0,1,0,0,0,0,0,0,74.39,74.39,99.2,6.02,33760000000.0,33760000000.0
1,1,Luxembourg,10400,28.5,23.1,0.898,0,0,0,0,1,0,0,0,79.33,79.33,90.2,1.71,18330000000.0,18330000000.0
2,2,Singapore,87900,33.1,6.2,0.925,0,0,1,0,0,0,0,0,78.63,78.63,100.0,2.02,271300000000.0,271300000000.0
3,3,Kuwait,71900,56.6,39.7,0.8,0,1,0,0,0,0,0,0,70.21,70.21,98.3,3.63,28320000000.0,28320000000.0
4,4,Ireland,69200,35.1,25.6,0.9229999999999999,0,0,0,0,1,0,0,0,83.53,83.53,63.2,1.58,88010000000.0,88010000000.0
5,5,Norway,69200,25.8,23.1,0.9490000000000001,0,0,0,0,1,0,0,0,85.81,85.81,80.5,1.35,73020000000.0,73020000000.0
6,6,United Arab Emirates,67900,38.4,37.2,0.84,0,1,0,0,0,0,0,0,84.56,84.56,85.5,2.87,246900000000.0,246900000000.0
7,7,Switzerland,59600,24.5,19.4,0.9390000000000001,0,0,0,0,1,0,0,0,89.7,89.7,73.9,1.88,243400000000.0,243400000000.0
8,8,Saudi Arabia,55200,61.0,34.7,0.847,0,1,0,0,0,0,0,0,61.86,61.86,83.1,2.1,157700000000.0,157700000000.0
9,9,Netherlands,51000,15.5,19.8,0.924,0,0,0,0,1,0,0,0,90.24,90.24,90.5,1.05,376300000000.0,376300000000.0
10,10,Bahrain,50700,31.1,35.1,0.8240000000000001,0,1,0,0,0,0,0,0,68.04,68.04,88.8,1.71,7974000000.0,7974000000.0
11,12,Sweden,49800,28.7,20.5,0.9129999999999999,0,0,0,0,1,0,0,0,88.05,88.05,85.8,0.83,134900000000.0,134900000000.0
12,13,Iceland,49200,24.5,22.8,0.9209999999999999,0,0,0,0,1,0,0,0,70.62,70.62,94.1,1.25,5024000000.0,5024000000.0
13,14,Australia,48900,23.8,28.6,0.9390000000000001,0,0,1,0,0,0,0,0,79.29,79.29,89.4,1.47,203100000000.0,203100000000.0
14,15,Germany,48100,21.1,20.1,0.9259999999999999,0,0,0,0,1,0,0,0,86.89,86.89,75.3,0.16,987600000000.0,987600000000.0
15,16,Austria,48000,23.8,18.4,0.893,0,0,0,0,1,0,0,0,87.91,87.91,66.0,0.4,138600000000.0,138600000000.0
16,17,Denmark,48000,24.3,19.3,0.925,0,0,0,0,1,0,0,0,87.85,87.85,87.7,0.6,82290000000.0,82290000000.0
17,18,Oman,46700,31.1,30.9,0.7959999999999999,0,1,0,0,0,0,0,0,65.4,65.4,77.6,8.54,25780000000.0,25780000000.0
18,19,Canada,46400,23.2,28.0,0.92,0,0,0,0,0,1,0,0,83.45,83.45,81.8,1.22,419000000000.0,419000000000.0
19,20,Belgium,45000,33.2,20.2,0.8959999999999999,0,0,0,0,1,0,0,0,87.87,87.87,97.9,0.48,251700000000.0,251700000000.0
20,21,France,42300,23.8,23.9,0.897,0,0,0,0,1,0,0,0,87.34,87.34,79.5,0.84,525400000000.0,525400000000.0
21,22,Finland,42200,23.5,20.6,0.895,0,0,0,0,1,0,0,0,85.98,85.98,84.2,0.8,53500000000.0,53500000000.0
