,Unnamed: 0,country,GDPper_cap,Adult_Population,Insufficiently_active,Percent_Obese,HDI,IHDI
0,1,Luxembourg,10400,394182,28.5,23.1,0.898,0.8270000000000001
1,4,Ireland,69200,3216975,35.1,25.6,0.9229999999999999,0.85
2,5,Norway,69200,3584317,25.8,23.1,0.9490000000000001,0.898
3,7,Switzerland,59600,5726389,24.5,19.4,0.9390000000000001,0.8590000000000001
4,9,Netherlands,51000,11509480,15.5,19.8,0.924,0.861
5,12,Sweden,49800,6695670,28.7,20.5,0.9129999999999999,0.851
6,13,Iceland,49200,226343,24.5,22.8,0.9209999999999999,0.868
7,14,Australia,48900,16518799,23.8,28.6,0.9390000000000001,0.861
8,15,Germany,48100,55476370,21.1,20.1,0.9259999999999999,0.8590000000000001
9,16,Austria,48000,5901672,23.8,18.4,0.893,0.815
10,17,Denmark,48000,3873587,24.3,19.3,0.925,0.858
11,19,Canada,46400,24743309,23.2,28.0,0.92,0.8390000000000001
12,20,Belgium,45000,7721659,33.2,20.2,0.8959999999999999,0.821
13,21,France,42300,43900183,23.8,23.9,0.897,0.813
14,22,Finland,42200,3731495,23.5,20.6,0.895,0.843
15,23,Japan,41300,86128494,33.8,3.3,0.903,0.7909999999999999
16,24,Malta,39900,291072,42.9,26.6,0.856,0.7859999999999999
17,28,Italy,36800,40103548,33.2,21.0,0.887,0.784
18,29,Spain,36400,31316979,30.5,23.7,0.884,0.7909999999999999
19,30,Israel,35200,5622053,31.1,25.3,0.899,0.778
20,31,Cyprus,35000,796905,34.7,23.8,0.856,0.762
21,32,Slovenia,32100,1405232,21.3,25.1,0.89,0.838
22,33,Trinidad and Tobago,31900,924981,41.5,31.1,0.78,0.6609999999999999
23,34,Slovakia,31300,3680440,17.8,25.7,0.845,0.7929999999999999
24,35,Lithuania,30000,1952685,18.4,25.9,0.848,0.759
25,36,Estonia,29300,884787,11.9,22.6,0.865,0.7879999999999999
26,37,Portugal,28900,6978614,34.9,20.1,0.843,0.755
27,38,Poland,27800,25788133,18.7,25.2,0.855,0.774
28,40,Hungary,27500,6567885,18.1,24.0,0.836,0.7709999999999999
29,42,Greece,26700,7539543,12.9,22.9,0.866,0.758
30,44,Latvia,25700,1317197,22.0,23.7,0.83,0.742
31,46,Kazakhstan,25100,12298960,20.6,23.4,0.794,0.7140000000000001
32,47,Turkey,24900,54551336,32.8,29.5,0.767,0.645
33,49,Chile,24100,12197773,21.3,27.8,0.847,0.6920000000000001
34,50,Panama,23000,2769005,32.4,26.8,0.7879999999999999,0.614
35,51,Croatia,22800,2830327,16.2,23.3,0.8270000000000001,0.752
36,52,Romania,22300,13295339,25.3,21.7,0.802,0.7140000000000001
